code,url,product_name,brands_tags,stores,owner,labels_tags,nutriscore_score,nutriscore_grade,quantity,fat_100g,saturated_fat_100g,sugars_100g,proteins_100g,carbohydrates_100g,energy_100g,salt_100g,sodium_100g,computed_energy_100g,organic,level_salt,level_saturated_fat,level_sugars,level_fat,vegan,vegetarian,palm_oil
21130120833,http://world-en.openfoodfacts.org/product/0021130120833/supreme-pizza,Supreme pizza,,,,,1,b,,9.64,3.61,3.01,9.04,26.51,933,0.995,0.398,961.03,,m,m,l,m,f,f,
11161035114,http://world-en.openfoodfacts.org/product/0011161035114/supreme-pizza-bites,Supreme pizza bites,,,,,2,b,,7.06,2.35,2.35,8.24,32.94,937,1.235,0.494,961.28,,m,m,l,m,f,f,
43000080764,http://world-en.openfoodfacts.org/product/0043000080764/supreme-pizza-classic-crust,"Supreme pizza, classic crust",,,,,2,b,,9.49,3.28,2.19,10.22,28.47,979,1.315,0.526,1008.86,,m,m,l,m,f,f,
11433119719,http://world-en.openfoodfacts.org/product/0011433119719/tandoor-chef-the-original-naan-pizza-margherita,"Tandoor chef, the original naan pizza, margherita",tandoor-chef,,,,1,b,,6.36,1.82,3.64,9.09,34.55,987,1.0,0.4,977.2,,m,m,l,m,f,,f
11433134842,http://world-en.openfoodfacts.org/product/0011433134842/the-original-naan-pizza-tandoor-chef,The original naan pizza,tandoor-chef,,,,1,b,,2.68,0.89,3.57,8.04,36.61,858,1.16,0.464,858.21,,m,l,l,l,f,,f
11433131087,http://world-en.openfoodfacts.org/product/0011433131087/the-original-naan-pizza,The original naan pizza,,,,,0,b,,4.72,0.79,6.3,10.24,41.73,1054,1.06,0.424,1058.13,,m,l,m,m,f,,f
11433119702,http://world-en.openfoodfacts.org/product/0011433119702/the-original-nan-pizza-spinach-paneer-cheese-tandoor-chef,"The Original Nan Pizza, Spinach & Paneer Cheese",tandoor-chef,,,,1,b,240 g,10.0,2.9166666666667,1.6666666666667,10.0,38.333333333333,1185,1.0208333333333,0.40833333333332,1191.666666666661,,m,m,l,m,f,,f
20662005939,http://world-en.openfoodfacts.org/product/0020662005939/thin-crispy-pizza,Thin & crispy pizza,,,,,0,b,,7.32,2.85,1.63,8.13,26.02,816,0.875,0.35,851.39,,m,m,l,m,f,,f
872824009800,http://world-en.openfoodfacts.org/product/0872824009800/thin-crust-cheese-pizza,Thin crust cheese pizza,,,,,2,b,,7.75,2.46,3.52,7.75,33.1,941,0.81,0.324,981.2,,m,m,l,m,f,,f
25800028900,http://world-en.openfoodfacts.org/product/0025800028900/thin-crust-cheese-pizza-smart-ones,Thin Crust Cheese Pizza,smart-ones,,,"en:low-or-no-fat,en:low-fat,en:reduced-fat",0,b,,4.84,2.42,6.45,13.71,33.87,979,0.8398,0.33592,987.94,f,m,m,m,m,f,,
829006000070,http://world-en.openfoodfacts.org/product/0829006000070/thin-crust-pizza,Thin crust pizza,,,,,2,b,,5.44,2.04,2.04,4.76,13.61,510,0.46,0.184,513.57,,m,m,l,m,f,f,f
888849007189,http://world-en.openfoodfacts.org/product/0888849007189/thin-crust-pizza-supreme-quest,Thin Crust Pizza - Supreme,quest,,,en:no-gluten,0,b,,17.0,6.0,2.0,20.0,18.0,1088,0.67,0.268,1275.0,f,m,h,l,m,f,f,
70085046927,http://world-en.openfoodfacts.org/product/0070085046927/three-cheese-frozen-pizza-bagel-bites,Three cheese frozen pizza,bagel-bites,,,,2,b,,5.68,2.27,3.41,7.95,36.36,951,1.0102,0.40408,963.43,,m,m,l,m,f,,
758940711318,http://world-en.openfoodfacts.org/product/0758940711318/three-cheese-mini-pizza-bagels,Three cheese mini pizza bagels,,,,,0,b,,4.55,2.84,3.41,11.36,31.82,858,0.965,0.386,902.41,,m,m,l,m,f,,
36800423725,http://world-en.openfoodfacts.org/product/0036800423725/three-cheese-mini-pizza-bagels-mozzarella-cheddar-and-monterey-jack-cheese-topped-mini-pizza-bagel-halves-appetizer-three-cheese-mini-pizza-bagels,"Three cheese mini pizza bagels mozzarella, cheddar and monterey jack cheese-topped mini pizza bagel halves appetizer, three cheese mini pizza bagels",,,,,1,b,,5.11,2.84,4.55,11.36,30.68,858,0.965,0.386,903.75,,m,m,l,m,f,,f
25583009585,http://world-en.openfoodfacts.org/product/0025583009585/tofurky-pesto-supreme-pizza,"Tofurky, pesto supreme pizza",tofurky,,,"en:vegetarian,en:vegan",0,b,,7.26,0.81,3.23,5.65,33.06,912,0.765,0.306,926.69,f,m,l,l,m,t,t,f
25583009707,http://world-en.openfoodfacts.org/product/0025583009707/tofurky-pocket-pepp-roni-pizza,"Tofurky, pocket pepp'roni pizza",tofurky,,,,-4,a,,3.91,1.17,3.12,8.59,33.59,753,0.6825,0.273,861.73,,m,l,l,m,,,f
19962672712,http://world-en.openfoodfacts.org/product/0019962672712/tomato-ricotta-pizza,Tomato ricotta pizza,,,,,2,b,,7.07,4.04,2.02,13.13,40.4,1184,0.7575,0.303,1171.6,,m,m,l,m,f,,f
810882010130,http://world-en.openfoodfacts.org/product/0810882010130/triple-cheese-pizza-kidfresh,Triple Cheese Pizza,kidfresh,,,,-1,a,,5.62,2.25,2.25,8.99,33.71,941,0.59,0.236,933.84,,m,m,l,m,f,,
810882010666,http://world-en.openfoodfacts.org/product/0810882010666/triple-cheese-superblastin-pizza-bites,Triple cheese superblastin' pizza bites,,,,,-1,a,,5.62,2.25,2.25,8.99,33.71,941,0.59,0.236,933.84,,m,m,l,m,f,,
16741000698,http://world-en.openfoodfacts.org/product/0016741000698/truffle-lover-s-pizza-whole-wheat-psyllium,"Truffle lover's pizza, whole wheat & psyllium",,,,,-2,a,,8.33,3.47,1.39,8.33,22.22,812,0.625,0.25,827.56,,m,m,l,m,f,,f
71921962364,http://world-en.openfoodfacts.org/product/0071921962364/tuscan-style-chicken-grilled-white-meat-chicken-spinach-tomatoes-garlic-pizzeria-pizza-tuscan-style-chicken,"Tuscan-style chicken grilled white meat chicken, spinach, tomatoes, garlic pizzeria pizza, tuscan-style chicken",,,,,2,b,,5.84,2.19,2.19,9.49,28.47,854,1.1125,0.445,861.4,,m,m,l,m,f,f,
