code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
0083554084214	http://world-en.openfoodfacts.org/product/0083554084214/our-super-supreme-sausage-cheese-mushrooms-onions-peppers-pizza-our-super-supreme	Our super supreme sausage, cheese, mushrooms, onions, peppers pizza, our super supreme	NA	NA	NA	NA	10	c	NA	10.56	4.23	3.52	12.68	17.61	912	1.355	0.542	905.65	NA	m	m	l	m	f	f	f
0083554084573	http://world-en.openfoodfacts.org/product/0083554084573/our-super-supreme-sausage-cheese-mushrooms-onions-peppers-super-thin-crust-pizza-our-super-supreme	Our super supreme sausage, cheese, mushrooms, onions, peppers super thin crust pizza, our super supreme	NA	NA	NA	NA	3	c	NA	9.27	3.97	3.97	12.58	20.53	916	1.275	0.51	905.86	NA	m	m	l	m	f	f	f
0041497036257	http://world-en.openfoodfacts.org/product/0041497036257/oven-raising-pizza-three-meat-pepperoni-sausage-hamburger-weis	Oven Raising Pizza, Three Meat Pepperoni, Sausage & Hamburger	weis	NA	NA	NA	10	c	NA	8.45	3.52	2.82	9.15	30.28	971	1.425	0.57	982.96	NA	m	m	l	m	f	f	
0041497036226	http://world-en.openfoodfacts.org/product/0041497036226/oven-rising-pizza-four-cheese-weis-quality	Oven Rising Pizza Four Cheese	weis-quality	NA	NA	NA	10	c	NA	7.04	4.23	2.82	9.86	30.99	941	1.32	0.528	954.93	NA	m	m	l	m	f		
0041497036233	http://world-en.openfoodfacts.org/product/0041497036233/oven-rising-pizza-pepperoni-weis	Oven Rising Pizza Pepperoni	weis	NA	NA	NA	12	d	NA	9.15	4.23	2.82	9.15	30.99	1029	1.5675	0.627	1020.93	NA	h	m	l	m	f	f	
0075706127023	http://world-en.openfoodfacts.org/product/0075706127023/palermo-s-classics-sausage-pizza	Palermo's, classics sausage pizza	palermo-s,palermo-villa-inc	NA	NA	NA	10	c	NA	6.92	3.14	4.4	8.18	23.9	791	1.4	0.56	801.40	NA	m	m	l	m	f	f	
0075706127016	http://world-en.openfoodfacts.org/product/0075706127016/palermo-s-classics-thin-crust-pepperoni-pizza	Palermo's, classics, thin crust pepperoni pizza	palermo-s,palarmo-villa-inc	NA	NA	NA	13	d	NA	10	4.38	3.75	8.12	23.12	887	1.8125	0.725	901.08	NA	h	m	l	m	f	f	
0075706146000	http://world-en.openfoodfacts.org/product/0075706146000/palermo-s-flatbread-hearth-baked-crust-pizza-roasted-vegetable	Palermo's, flatbread hearth baked crust pizza, roasted vegetable	palermo-s,palermo-villa-inc	NA	NA	NA	4	c	NA	6.9	3.1	2.07	6.9	19.31	695	0.93	0.372	700.87	NA	m	m	l	m	f		
0075706148011	http://world-en.openfoodfacts.org/product/0075706148011/palermo-s-medium-crust-italian-sausage-pizza	Palermo's, medium crust italian sausage pizza	palermo-s,palermo-villa-inc	NA	NA	NA	12	d	NA	11.11	4.76	3.17	10.32	24.6	996	1.4675	0.587	1004.71	NA	m	m	l	m	f	f	
0075706127504	http://world-en.openfoodfacts.org/product/0075706127504/palermo-s-mission-pizza-co-cheese-thin-crust-pizza	Palermo's, mission pizza co., cheese thin crust pizza	palermo-s,palermo-villa-inc	NA	NA	NA	15	d	NA	12.32	6.52	2.9	10.14	23.19	1029	1.4675	0.587	1022.45	NA	m	h	l	m	f		t
0075706148097	http://world-en.openfoodfacts.org/product/0075706148097/palermo-s-pizzeria-hand-tossed-style-medium-crust-pizza-chicken-bacon-ranch	Palermo's, pizzeria hand tossed style medium crust pizza, chicken, bacon, ranch	palermo-s,palermo-villa-inc	NA	NA	NA	5	c	NA	7.35	2.94	2.21	11.03	27.21	925	1.36	0.544	922.03	NA	m	m	l	m	f	f	
